kind,key,severity
region,CA-AB,1.305989878675079
region,CA-ON,2.567442014417963
region,US-SW-SRP,1.5212874967078005
region,US-SW-AZPS,1.3903920837727348
region,US-SW-PNM,1.9014815751464322
region,US-CAL-CISO,1.5507743604427748
region,US-CAL-BANC,1.8746416386750642
region,US-CAL-LDWP,1.805632967424335
region,US-CAL-IID,1.3870991461331106
region,US-CAL-TIDC,1.4268632084580821
region,US-TEX-ERCO,1.441556667583386
region,US-MIDW-MISO,1.3371313873701776
region,US-MIDW-AECI,1.4077398486715078
region,US-MIDA-PJM,1.33318915582352
region,US-NY-NYIS,1.3852432897479643
region,US-NW-NEVP,1.2512334658807864
region,US-NW-BPAT,5.119773403780574
event,US-TEX-ERCO__Uri2021,1.2831323863637194
joint,us_west,1.3357127670703037
joint,taskc,1.2926508682104811
joint,us_hetero,1.8933368911757396
