grid,metric,gap_pct,ci_lo,ci_hi,verdict
us_west,CVaR_0.90,0.4653432604103212,-0.49598680971372533,1.1998092305185821,null
us_west,CVaR_0.95,0.28051686764025374,-0.6481553253821325,1.1625604464281156,null
us_west,CVaR_0.99,0.29703718778463173,-0.5910409956457334,1.4982143333661229,null
us_west,worst_day,0.22001651885380552,-0.12155477759925037,1.6534691661576757,null
taskc,CVaR_0.90,0.1013649202724195,-0.06945521830567293,0.21241630110085502,null
taskc,CVaR_0.95,0.03895572464602684,-0.1027283315188115,0.2517791967570822,null
taskc,CVaR_0.99,0.21135951343582796,-0.03406107342760521,0.41755195285414304,null
taskc,worst_day,0.41755195285414304,-0.024667647405132512,0.41755195285414304,null
us_hetero,CVaR_0.90,-8.770972371335812,-14.502579407071806,-4.591867528300712,robust loses
us_hetero,CVaR_0.95,-10.343402041905613,-18.28486253417845,-4.393866921007428,robust loses
us_hetero,CVaR_0.99,-8.583125979033518,-23.8923174718665,0.14938471081710133,null
us_hetero,worst_day,-3.7175726879911366,-23.11155036800934,0.14938471081710133,null
