grid,c_riskaversion,theta,sched_diff_pct,eff_days,n_test,entropic_gap_pct,entropic_ci_lo,entropic_ci_hi,cvar_gap_pct,mean_gap_pct,verdict,degenerate
us_hetero,0.5,3.86349e-06,2.779,295.4,365,0.1458,0.1308,0.1614,0.1427,0.1342,null,0
us_hetero,1.0,7.72699e-06,4.164,178.6,365,-0.0284,-0.0508,-0.0054,-0.0259,-0.0466,null,0
us_hetero,2.0,1.5454e-05,12.5,49.6,365,-0.0508,-0.1348,0.0332,-0.1049,-0.1674,null,0
us_hetero,4.0,3.0908e-05,6.944,5.7,365,-0.441,-0.5678,-0.2586,-0.5579,-0.5524,hurts,1
us_hetero,8.0,6.18159e-05,7.064,2.1,365,-0.5311,-0.7275,-0.3701,-0.7383,-0.7411,hurts,1
us_west,0.5,1.91353e-06,3.333,293.6,362,-0.0939,-0.1081,-0.0786,0.0259,-0.1219,null,0
us_west,1.0,3.82705e-06,3.333,183.3,362,0.0732,0.0602,0.0858,0.0383,0.0748,null,0
us_west,2.0,7.65411e-06,12.917,59.0,362,0.0182,-0.0322,0.0632,-0.0135,-0.1039,null,0
us_west,4.0,1.53082e-05,23.539,9.1,362,-0.5638,-0.865,-0.3687,-0.5874,-2.0467,hurts,1
us_west,8.0,3.06164e-05,31.588,1.8,362,-0.837,-1.6585,-0.7175,-1.5141,-4.3572,hurts,1
taskc,0.5,3.82484e-06,4.688,278.0,362,-0.073,-0.085,-0.0608,-0.0018,-0.0972,null,0
taskc,1.0,7.64967e-06,2.083,171.4,362,-0.0057,-0.0103,-0.0011,-0.0144,-0.0132,null,0
taskc,2.0,1.52993e-05,7.292,71.5,362,-0.093,-0.1124,-0.0741,-0.0741,-0.236,null,0
taskc,4.0,3.05987e-05,18.853,18.7,362,0.0494,-0.0431,0.1238,0.0355,-0.276,null,1
taskc,8.0,6.11974e-05,17.468,5.6,362,0.3225,0.1349,0.4304,0.2177,0.0074,null,1
