grid,kappa,gap_pct,Delta,M
us_hetero,1.0,-0.1774065655710496,1.5461774589923536,54086.03121149902
us_hetero,0.75,-0.17741975843164412,2.0615699453231326,40564.52340862437
us_hetero,0.5,-0.23442359800735413,3.0923549179847014,27043.015605749562
us_hetero,0.25,-0.3820209393044485,6.184709835969416,13521.507802874752
us_hetero,0.0,0.6665480303015308,inf,0.0
taskc,1.0,-0.0017863708151633763,3.410624300697695,32910.48100481772
taskc,0.75,-0.00272114018365663,4.547499067596886,24682.86075361351
taskc,0.5,0.07347230376158956,6.821248601395441,16455.240502408735
taskc,0.25,0.1095547039533197,13.642497202790858,8227.620251204382
taskc,0.0,0.2390648666107328,inf,0.0
