grid,kappa,M,Delta
us_west,1.0,131556.0567790779,1.923569857408216
us_west,0.5,65778.02838953881,3.84713971481644
us_west,0.25,32889.01419476938,7.6942794296328865
us_west,0.1,13155.605677907763,19.2356985740822
us_west,0.05,6577.802838954027,38.47139714816355
taskc,1.0,32910.48100481772,3.410624300697695
taskc,0.5,16455.240502408735,6.821248601395441
taskc,0.25,8227.620251204382,13.642497202790858
taskc,0.1,3291.048100481974,34.10624300697485
taskc,0.05,1645.5240502408124,68.21248601395695
us_hetero,1.0,54086.03121149902,1.5461774589923536
us_hetero,0.5,27043.015605749562,3.0923549179847014
us_hetero,0.25,13521.507802874752,6.184709835969416
us_hetero,0.1,5408.603121149848,15.461774589923689
us_hetero,0.05,2704.3015605748515,30.923549179848212
