grid,objective,param,param_value,sched_diff_pct,cvar_gap_pct,oos_std_gap_pct,is_std_gap_pct,var_over_mean,boot_gap_pct,boot_lo_pct,boot_hi_pct
us_hetero,mean_std_dro,epsilon,0.0,0.001,-0.0,,,,,,
us_hetero,mean_std_dro,epsilon,1.0,4.622,-0.1354,,,,,,
us_hetero,mean_std_dro,epsilon,10.0,6.699,-0.7722,,,,,,
us_hetero,mean_std_dro,epsilon,100.0,7.949,0.207,,,,,,
us_hetero,mean_variance,lam_over_ref,0.1,3.472,-0.0316,0.1236,0.1342,0.0993,,,
us_hetero,mean_variance,lam_over_ref,1.0,6.967,-0.8354,-0.0125,0.2424,0.9138,-0.8354,-1.0247,-0.6309
us_hetero,mean_variance,lam_over_ref,10.0,7.607,0.1687,0.2156,0.0149,9.0062,,,
us_hetero,mean_variance,lam_over_ref,100.0,4.701,-0.1159,0.085,0.0286,89.7404,,,
us_hetero,mean_variance,lam_over_ref,1000.0,4.642,-0.1116,0.0843,0.0286,897.3757,,,
us_west,mean_std_dro,epsilon,0.0,0.001,-0.0,,,,,,
us_west,mean_std_dro,epsilon,1.0,3.333,0.0351,,,,,,
us_west,mean_std_dro,epsilon,10.0,17.786,-0.6299,,,,,,
us_west,mean_std_dro,epsilon,100.0,12.445,0.3588,,,,,,
us_west,mean_variance,lam_over_ref,0.1,5.0,0.0532,-0.0046,0.1521,0.0992,,,
us_west,mean_variance,lam_over_ref,1.0,30.417,-1.4968,6.0726,4.6656,0.8746,-1.4968,-1.9165,-1.1773
us_west,mean_variance,lam_over_ref,10.0,12.81,0.343,0.9869,0.2214,8.5983,,,
us_west,mean_variance,lam_over_ref,100.0,12.285,0.3662,0.8889,0.2371,85.9506,,,
us_west,mean_variance,lam_over_ref,1000.0,12.24,0.3651,0.875,0.238,859.4716,,,
taskc,mean_std_dro,epsilon,0.0,0.0,-0.0,,,,,,
taskc,mean_std_dro,epsilon,1.0,0.001,-0.0,,,,,,
taskc,mean_std_dro,epsilon,10.0,15.974,0.259,,,,,,
taskc,mean_std_dro,epsilon,100.0,13.645,0.3421,,,,,,
taskc,mean_variance,lam_over_ref,0.1,6.771,-0.0461,0.7574,0.4636,0.0977,,,
taskc,mean_variance,lam_over_ref,1.0,20.35,0.1144,0.3399,0.4264,0.9377,0.1144,0.0412,0.1943
taskc,mean_variance,lam_over_ref,10.0,14.397,0.3621,-0.4863,0.3604,9.3546,,,
taskc,mean_variance,lam_over_ref,100.0,15.143,0.3675,-0.4806,0.3987,93.5407,,,
taskc,mean_variance,lam_over_ref,1000.0,15.257,0.3694,-0.4832,0.4025,935.3835,,,
